dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid,
kin40k,500,3,0.112,-0.0708,-5179.1,3762.4,1112,1,
kin40k,500,3,0.1153,0.0409,-5144.32,3561.2,1113,1,
kin40k,500,3,0.1376,0.0452,-4944.51,4402.4,1114,1,
kin40k,500,3,0.0856,-0.2286,-4849.43,3569.9,1115,1,
kin40k,500,3,0.0558,-0.7085,-5196.31,4212.6,1116,1,x
kin40k,750,2,0.095,-0.3339,-5908.81,7546.9,1112,1,
kin40k,750,2,0.1049,-0.2717,-6367.59,5525.8,1113,1,
kin40k,750,2,0.0757,-0.3591,-6384.94,5224.8,1114,1,x
kin40k,750,2,0.0882,-0.3558,-5804.3,5319.1,1115,1,
kin40k,750,2,0.0708,-0.4179,-5770.85,5138.3,1116,1,
pumadyn32nm,500,3,0.0482,-0.1027,-1456.74,6363,1112,1,
pumadyn32nm,500,3,0.0494,-0.0724,-1730.27,5708.5,1113,1,x
pumadyn32nm,500,3,0.0492,-0.0475,-1529.71,7471.2,1114,1,
pumadyn32nm,500,3,0.047,-0.104,-1207.57,5648.9,1115,1,
pumadyn32nm,500,3,0.0465,-0.0872,-1323.42,5293.6,1116,1,
pumadyn32nm,750,2,0.0451,-0.1517,-827.89,11511.6,1112,1,
pumadyn32nm,750,2,0.0467,-0.1156,-1335.14,8384,1113,1,
pumadyn32nm,750,2,0.0463,-0.079,-1364.4,7859.1,1114,1,
pumadyn32nm,750,2,0.0485,-0.087,-1268.49,7946.6,1115,1,
pumadyn32nm,750,2,0.0473,-0.1022,-1369.15,7702.8,1116,1,x
myelevators,500,3,0.4232,-4.2272,-39616.83,5433.7,1112,1,
myelevators,500,3,0.5355,-4.1541,-39516.83,4339.5,1113,1,
myelevators,500,3,0.3798,-4.3605,-39577.7,5400.7,1114,1,
myelevators,500,3,0.5844,-4.274,-39642.75,4433.4,1115,1,
myelevators,500,3,0.56,-4.284,-39768.29,4028.7,1116,1,x
myelevators,750,2,0.2016,-4.4696,-40511.97,7760.6,1112,1,
myelevators,750,2,0.2072,-4.4579,-40313.3,6540.4,1113,1,
myelevators,750,2,0.151,-4.6446,-40740.84,6241.7,1114,1,x
myelevators,750,2,0.2011,-4.4653,-40465.49,6714.1,1115,1,
myelevators,750,2,0.2048,-4.4575,-40255.1,6046.5,1116,1,
pol,500,3,0.4636,7.6828,13091.59,7690.2,1112,1,x
pol,500,3,0.0275,2.2339,14829.54,6355.2,1113,1,
pol,500,3,0.2662,10.5748,15528.33,6026.9,1114,1,
pol,500,3,0.5168,1347.9134,14162.56,6069.7,1115,1,
pol,500,3,0.3048,965.7877,14900.08,5897.9,1116,1,
pol,750,2,4.5232,2560092.756,18118.06,9337.2,1112,1,
pol,750,2,4917.6368,12725893462.5073,13901.82,9494.8,1113,1,
pol,750,2,8172.8175,2197202900895.43,15777.48,9156.8,1114,1,
pol,750,2,559.386,9062136961389920000000000000,15193.52,10956,1115,1,
pol,750,2,0.037,3.711,13724.81,8635.3,1116,1,x
kin40k,500,3,0.10126,-0.18436,-5062.734,3901.7,,,
kin40k,750,2,0.08692,-0.34768,-6047.298,5750.98,,,
pumadyn32nm,500,3,0.04806,-0.08276,-1449.542,6097.04,,,
pumadyn32nm,750,2,0.04678,-0.1071,-1233.014,8680.82,,,
myelevators,500,3,0.49658,-4.25996,-39624.48,4727.2,,,
myelevators,750,2,0.19314,-4.49898,-40457.34,6660.66,,,
pol,500,3,0.24555,6.8305,14502.42,6407.98,,,
pol,750,2,0.037,3.711,15343.138,9516.02,,,
